Type Sources Work Fingerprint Time
Serial 1 25 22607029152052898 88.851997
Serial-Queue 1 25 22607029152052898 71.786003
Serial 1 50 11403068950578571 42.308998
Serial-Queue 1 50 11403068950578571 44.717999
Serial 1 100 5746732576331855 33.337002
Serial-Queue 1 100 5746732576331855 34.155998
Serial 1 200 2871941306648762 30.216999
Serial-Queue 1 200 2871941306648762 30.577000
Serial 1 400 1437584695455524 26.916000
Serial-Queue 1 400 1437584695455524 27.267000
Serial 1 800 719586152677578 45.455002
Serial-Queue 1 800 719586152677578 29.049999
Serial 8 25 22582856350961355 61.685001
Serial-Queue 8 25 22582856350961355 68.278000
Serial 8 50 11413482752006015 55.377998
Serial-Queue 8 50 11413482752006015 51.412998
Serial 8 100 5738681065290118 33.693001
Serial-Queue 8 100 5738681065290118 35.317001
Serial 8 200 2872744425003031 29.062000
Serial-Queue 8 200 2872744425003031 29.606001
Serial 8 400 1433631735804265 26.136000
Serial-Queue 8 400 1433631735804265 26.513000
Serial 8 800 721162034477631 25.396000
Serial-Queue 8 800 721162034477631 25.440001
Serial 16 25 22579079271723319 58.518002
Serial-Queue 16 25 22579079271723319 74.507004
Serial 16 50 11415763615060911 42.230999
Serial-Queue 16 50 11415763615060911 45.056000
Serial 16 100 5738782223976029 33.174000
Serial-Queue 16 100 5738782223976029 34.507999
Serial 16 200 2875988423955931 30.480000
Serial-Queue 16 200 2875988423955931 30.044001
Serial 16 400 1435896336310552 26.972000
Serial-Queue 16 400 1435896336310552 27.525999
Serial 16 800 722730202798710 35.688999
Serial-Queue 16 800 722730202798710 28.530001
Serial 1 25 22593063665850415 59.955002
Serial-Queue 1 25 22607029152052898 78.164001
Serial 1 50 11403068950578571 41.841000
Serial-Queue 1 50 11403068950578571 45.652000
Serial 1 100 5746732576331855 46.438000
Serial-Queue 1 100 5746732576331855 39.660999
Serial 1 200 2871941306648762 29.580999
Serial-Queue 1 200 2871941306648762 29.989000
Serial 1 400 1437584695455524 26.506001
Serial-Queue 1 400 1437584695455524 26.370001
Serial 1 800 719586152677578 37.132999
Serial-Queue 1 800 719586152677578 32.316002
Serial 8 25 22582856350961355 65.193001
Serial-Queue 8 25 22582856350961355 67.977997
Serial 8 50 11413482752006015 41.695999
Serial-Queue 8 50 11413482752006015 44.816002
Serial 8 100 5738681065290118 33.020000
Serial-Queue 8 100 5738681065290118 34.388000
Serial 8 200 2872744425003031 29.308001
Serial-Queue 8 200 2872744425003031 29.635000
Serial 8 400 1433631735804265 26.617001
Serial-Queue 8 400 1433631735804265 27.252001
Serial 8 800 721162034477631 25.791000
Serial-Queue 8 800 721162034477631 45.104000
Serial 16 25 22579079271723319 73.739998
Serial-Queue 16 25 22579079271723319 70.989998
Serial 16 50 11415763615060911 61.626999
Serial-Queue 16 50 11415763615060911 57.707001
Serial 16 100 5738782223976029 38.508999
Serial-Queue 16 100 5738782223976029 36.000000
Serial 16 200 2875988423955931 44.769001
Serial-Queue 16 200 2875988423955931 31.943001
Serial 16 400 1435896336310552 26.903000
Serial-Queue 16 400 1435896336310552 26.971001
Serial 16 800 722730202798710 38.624001
Serial-Queue 16 800 722730202798710 33.943001
Serial 1 25 22611091486311297 63.257999
Serial-Queue 1 25 22607029152052898 66.098000
Serial 1 50 11403068950578571 42.098999
Serial-Queue 1 50 11403068950578571 47.556999
Serial 1 100 5746732576331855 45.801998
Serial-Queue 1 100 5746732576331855 36.096001
Serial 1 200 2871941306648762 29.334000
Serial-Queue 1 200 2871941306648762 30.204000
Serial 1 400 1437584695455524 26.351999
Serial-Queue 1 400 1437584695455524 27.353001
Serial 1 800 719586152677578 25.875999
Serial-Queue 1 800 719586152677578 25.618999
Serial 8 25 22582856350961355 62.042000
Serial-Queue 8 25 22582856350961355 67.810997
Serial 8 50 11413482752006015 54.645000
Serial-Queue 8 50 11413482752006015 45.942001
Serial 8 100 5738681065290118 46.498001
Serial-Queue 8 100 5738681065290118 37.887001
Serial 8 200 2872744425003031 29.066000
Serial-Queue 8 200 2872744425003031 29.410000
Serial 8 400 1433631735804265 27.202999
Serial-Queue 8 400 1433631735804265 26.648001
Serial 8 800 721162034477631 25.313999
Serial-Queue 8 800 721162034477631 37.431000
Serial 16 25 22579079271723319 66.917000
Serial-Queue 16 25 22579079271723319 67.188004
Serial 16 50 11415763615060911 41.618999
Serial-Queue 16 50 11415763615060911 44.780998
Serial 16 100 5738782223976029 34.484001
Serial-Queue 16 100 5738782223976029 34.879002
Serial 16 200 2875988423955931 28.162001
Serial-Queue 16 200 2875988423955931 30.214001
Serial 16 400 1435896336310552 26.606001
Serial-Queue 16 400 1435896336310552 26.841999
Serial 16 800 722730202798710 25.325001
Serial-Queue 16 800 722730202798710 26.179001
Serial 1 25 22588918816142855 75.040001
Serial-Queue 1 25 22607029152052898 88.773003
Serial 1 50 11403068950578571 58.574001
Serial-Queue 1 50 11403068950578571 62.896000
Serial 1 100 5746732576331855 34.498001
Serial-Queue 1 100 5746732576331855 36.153000
Serial 1 200 2871941306648762 29.240999
Serial-Queue 1 200 2871941306648762 29.410999
Serial 1 400 1437584695455524 26.259001
Serial-Queue 1 400 1437584695455524 26.871000
Serial 1 800 719586152677578 25.253000
Serial-Queue 1 800 719586152677578 26.889999
Serial 8 25 22582856350961355 58.962002
Serial-Queue 8 25 22582856350961355 66.586998
Serial 8 50 11413482752006015 56.242001
Serial-Queue 8 50 11413482752006015 55.418999
Serial 8 100 5738681065290118 34.341999
Serial-Queue 8 100 5738681065290118 35.244999
Serial 8 200 2872744425003031 28.250000
Serial-Queue 8 200 2872744425003031 29.434999
Serial 8 400 1433631735804265 26.209000
Serial-Queue 8 400 1433631735804265 26.490999
Serial 8 800 721162034477631 25.171000
Serial-Queue 8 800 721162034477631 25.804001
Serial 16 25 22579079271723319 58.726002
Serial-Queue 16 25 22579079271723319 91.780998
Serial 16 50 11415763615060911 47.789001
Serial-Queue 16 50 11415763615060911 64.855003
Serial 16 100 5738782223976029 39.481998
Serial-Queue 16 100 5738782223976029 37.076000
Serial 16 200 2875988423955931 28.990000
Serial-Queue 16 200 2875988423955931 29.257000
Serial 16 400 1435896336310552 26.231001
Serial-Queue 16 400 1435896336310552 26.391001
Serial 16 800 722730202798710 25.379999
Serial-Queue 16 800 722730202798710 26.101999
Serial 1 25 22596702080058317 59.198002
Serial-Queue 1 25 22607029152052898 66.844002
Serial 1 50 11403068950578571 41.280998
Serial-Queue 1 50 11403068950578571 45.924000
Serial 1 100 5746732576331855 36.235001
Serial-Queue 1 100 5746732576331855 36.033001
Serial 1 200 2871941306648762 29.299000
Serial-Queue 1 200 2871941306648762 41.861000
Serial 1 400 1437584695455524 30.416000
Serial-Queue 1 400 1437584695455524 45.410000
Serial 1 800 719586152677578 39.160999
Serial-Queue 1 800 719586152677578 31.988001
Serial 8 25 22582856350961355 63.276001
Serial-Queue 8 25 22582856350961355 68.248001
Serial 8 50 11413482752006015 43.081001
Serial-Queue 8 50 11413482752006015 50.808998
Serial 8 100 5738681065290118 33.209000
Serial-Queue 8 100 5738681065290118 52.813000
Serial 8 200 2872744425003031 37.706001
Serial-Queue 8 200 2872744425003031 34.706001
Serial 8 400 1433631735804265 28.471001
Serial-Queue 8 400 1433631735804265 27.712000
Serial 8 800 721162034477631 25.969999
Serial-Queue 8 800 721162034477631 25.732000
Serial 16 25 22579079271723319 58.111000
Serial-Queue 16 25 22579079271723319 85.767998
Serial 16 50 11415763615060911 61.012001
Serial-Queue 16 50 11415763615060911 46.244999
Serial 16 100 5738782223976029 32.548000
Serial-Queue 16 100 5738782223976029 46.757000
Serial 16 200 2875988423955931 34.995998
Serial-Queue 16 200 2875988423955931 45.825001
Serial 16 400 1435896336310552 32.056000
Serial-Queue 16 400 1435896336310552 29.997999
Serial 16 800 722730202798710 38.035999
Serial-Queue 16 800 722730202798710 31.882999
Averages
Serial 1 25 0 63.257999
Serial-Queue 1 25 0 71.786003
Serial 1 50 0 42.098999
Serial-Queue 1 50 0 45.924000
Serial 1 100 0 36.235001
Serial-Queue 1 100 0 36.096001
Serial 1 200 0 29.334000
Serial-Queue 1 200 0 30.204000
Serial 1 400 0 26.506001
Serial-Queue 1 400 0 27.267000
Serial 1 800 0 37.132999
Serial-Queue 1 800 0 29.049999
Serial 8 25 0 62.042000
Serial-Queue 8 25 0 67.977997
Serial 8 50 0 54.645000
Serial-Queue 8 50 0 50.808998
Serial 8 100 0 33.693001
Serial-Queue 8 100 0 35.317001
Serial 8 200 0 29.066000
Serial-Queue 8 200 0 29.606001
Serial 8 400 0 26.617001
Serial-Queue 8 400 0 26.648001
Serial 8 800 0 25.396000
Serial-Queue 8 800 0 25.804001
Serial 16 25 0 58.726002
Serial-Queue 16 25 0 74.507004
Serial 16 50 0 47.789001
Serial-Queue 16 50 0 46.244999
